"","Player_Season_Team","Nationality","PC1","PC2","Cluster","Player","Season","Team.x"
"232","Courtney Fortson_2016_ZGL",1,3.56265243894826,5.27986582588358,1,"Courtney Fortson",2016,"ZGL"
"233","D.J. Kennedy_2016_GFD",1,4.82914153130976,1.83451260069459,2,"D.J. Kennedy",2016,"GFD"
"234","Darius Adams_2016_XIN",1,2.48363058138854,6.19101108307735,1,"Darius Adams",2016,"XIN"
"235","Dominique Jones_2016_QIN",1,4.59412868145677,3.35594399060314,1,"Dominique Jones",2016,"QIN"
"236","Donald Sloan_2016_GST",1,1.77401165707278,3.97501209463519,1,"Donald Sloan",2016,"GST"
"237","Dwight Buycks_2016_FUJ",1,1.64561135831783,4.25797172364299,1,"Dwight Buycks",2016,"FUJ"
"238","Eli Holman_2016_ZGL",1,4.42878595054907,-1.75892807071689,3,"Eli Holman",2016,"ZGL"
"239","Errick McCollum_2016_BEIK",1,5.90636342824378,4.41381702206355,1,"Errick McCollum",2016,"BEIK"
"240","Esteban Batista_2016_BEIK",1,5.55113163299256,-1.40566038063763,2,"Esteban Batista",2016,"BEIK"
"241","Grant Jerrett_2016_BSD",1,3.05810684636075,-0.393074882760947,3,"Grant Jerrett",2016,"BSD"
